UavEast	UavNorth
[meter]	[meter]
748962	3638046
748962	3638046
748962	3638046
748962	3638046
748962	3638046
748963	3638057
748963	3638057
748963	3638057
748963	3638057
748963	3638057
748962	3638067
748962	3638067
748962	3638067
748962	3638067
748962	3638067
748962	3638067
748962	3638067
748962	3638067
748962	3638078
748962	3638078
748962	3638078
748962	3638078
748962	3638078
748962	3638078
748962	3638078
748962	3638088
748962	3638088
748962	3638088
748962	3638088
748962	3638088
748962	3638097
748962	3638097
748962	3638097
748962	3638097
748962	3638097
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748961	3638108
748960	3638120
748960	3638120
748960	3638120
748960	3638120
748960	3638120
748959	3638130
748959	3638130
748959	3638130
748959	3638130
748959	3638130
748959	3638130
748959	3638130
748959	3638130
748959	3638140
748959	3638140
748959	3638140
748959	3638140
748959	3638140
748957	3638150
748957	3638150
748957	3638150
748957	3638150
748957	3638150
748957	3638150
748957	3638150
748957	3638150
748956	3638162
748956	3638162
748956	3638162
748956	3638162
748956	3638162
748956	3638162
748956	3638162
748955	3638171
748955	3638171
748955	3638171
748955	3638171
748955	3638171
748955	3638171
748955	3638171
748955	3638171
748953	3638181
748953	3638181
748953	3638181
748953	3638181
748953	3638181
748951	3638191
748951	3638191
748951	3638191
748951	3638191
748951	3638191
748949	3638203
748949	3638203
748949	3638203
748949	3638203
748949	3638203
748949	3638203
748949	3638203
748948	3638213
748948	3638213
748948	3638213
748948	3638213
748948	3638213
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748946	3638222
748944	3638232
748944	3638232
748944	3638232
748944	3638232
748944	3638232
748941	3638243
748941	3638243
748941	3638243
748941	3638243
748941	3638243
748939	3638253
748939	3638253
748939	3638253
748939	3638253
748939	3638253
748936	3638264
748936	3638264
748936	3638264
748936	3638264
748936	3638264
748936	3638264
748936	3638264
748936	3638264
748934	3638272
748934	3638272
748934	3638272
748934	3638272
748934	3638272
748931	3638283
748931	3638283
748931	3638283
748931	3638283
748931	3638283
748931	3638283
748931	3638283
748929	3638294
748929	3638294
748929	3638294
748929	3638294
748929	3638294
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748925	3638302
748922	3638313
748922	3638313
748922	3638313
748922	3638313
748922	3638313
748919	3638324
748919	3638324
748919	3638324
748919	3638324
748919	3638324
748919	3638324
748919	3638324
748919	3638324
748916	3638333
748916	3638333
748916	3638333
748916	3638333
748916	3638333
748912	3638343
748912	3638343
748912	3638343
748912	3638343
748912	3638343
748909	3638352
748909	3638352
748909	3638352
748909	3638352
748909	3638352
748905	3638361
748905	3638361
748905	3638361
748905	3638361
748905	3638361
748905	3638361
748905	3638361
748902	3638370
748902	3638370
748902	3638370
748902	3638370
748902	3638370
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748897	3638382
748893	3638390
748893	3638390
748893	3638390
748893	3638390
748893	3638390
748893	3638390
748893	3638390
748893	3638390
748889	3638400
748889	3638400
748889	3638400
748889	3638400
748889	3638400
748884	3638410
748884	3638410
748884	3638410
748884	3638410
748884	3638410
748880	3638418
748880	3638418
748880	3638418
748880	3638418
748880	3638418
748880	3638418
748880	3638418
748880	3638418
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748876	3638428
748871	3638438
748871	3638438
748871	3638438
748871	3638438
748871	3638438
748866	3638449
748866	3638449
748866	3638449
748866	3638449
748866	3638449
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748861	3638457
748855	3638467
748855	3638467
748855	3638467
748855	3638467
748855	3638467
748850	3638476
748850	3638476
748850	3638476
748850	3638476
748850	3638476
748844	3638486
748844	3638486
748844	3638486
